cancellation_id,booking_id,cancelled_at,reason,cancelled_by,refund_amount,refund_status,days_before_pickup
7dc65b82-9da7-4c45-940d-db01f1a9932f,BKG0007867,2024-12-06 07:04:39,erro_usuario,partner,1014.89,denied,41
2e071c94-5ed2-456a-9e6a-423febdf0169,BKG0014694,2025-03-17 18:59:01,voo_cancelado,system,,,
c00a8dc4-d2c4-452d-835d-1a485444c556,BKG0008945,2025-03-27 04:00:26,parceiro_sem_veiculo,,804.24,pending,86
2c4018c8-e967-437b-8a63-adf4fbb516ac,BKG0015075,2025-02-26 17:33:41,,system,351.05,processed,51
0851d322-503a-477c-b40e-868f39331ae6,BKG0012014,2025-01-02 03:55:52,,,1303.78,pending,73
50dbc2a9-7102-4298-8484-2aad9ec5c910,BKG0006596,2024-10-11 11:03:14,duplicidade,system,567.07,,40
8e7e4a96-8437-45ca-933a-bccc81515f13,BKG0003024,2024-12-10 01:51:11,cliente_desistiu,admin,1078.75,,52
6ec8824b-da63-4675-a3c3-652553289dbe,BKG0016005,2024-12-04 14:32:41,preco_alto,admin,550.51,processed,74
4d0cd81a-d5e7-4d2e-a151-38ddd58b088d,BKG0010267,2024-11-03 17:05:21,preco_alto,system,1135.77,,51
2b2021c3-0465-4ae0-ae26-4fc14c72f802,BKG0005402,2025-02-26 09:08:46,fraude_detectada,partner,266.68,pending,15
993c0c8c-8b78-465a-ba58-36f24c3cfc18,BKG0015664,2025-03-24 19:56:52,parceiro_sem_veiculo,customer,78.03,processed,52
97c9650f-c55f-4d70-9c3c-b8aed2e02785,BKG0011405,2025-02-18 08:08:10,duplicidade,customer,,,55
ca140196-78b3-4932-97f9-9f8fac80fb38,BKG0015038,2024-10-06 12:58:52,voo_cancelado,admin,271.15,,75
1b01ddaa-2d91-4600-a0bf-d27af5f3e252,BKG0005568,2024-12-01 14:24:24,voo_cancelado,,1304.37,pending,-2
ad86f4a5-6ba6-4044-b2f4-7ddae4e97888,BKG0006039,2024-11-30 03:50:38,,customer,654.23,,16
77f05841-43c7-49bf-9eab-5462992605ac,BKG0015106,2025-03-21 05:39:38,fraude_detectada,,140.98,,19
6455b363-175f-437a-a16e-08bc70233164,BKG0009590,2024-11-23 18:11:39,fraude_detectada,admin,312.4,processed,53
0cbb3015-9f67-41be-b313-e89de62dec4a,BKG0017585,2024-11-27 04:59:58,,,811.69,,79
1caf54cb-fd71-4f85-8467-8a39584a98ed,BKG0002662,2025-02-22 19:25:11,preco_alto,partner,,pending,80
41bb8a5f-fe0a-4dcd-91cf-d7dd6c027bf4,BKG0008732,2025-01-29 15:46:45,erro_usuario,admin,1129.96,denied,30
02b66136-7011-42a2-8716-a6c321679458,BKG0016570,2024-12-09 12:48:40,parceiro_sem_veiculo,system,1239.14,denied,
b6016615-7a8b-4d8a-84c3-4f557778d14e,BKG0007467,2025-02-17 13:56:27,,customer,513.18,denied,90
e48be284-0ab1-46e1-96c9-8907fc052b51,BKG0003493,2024-10-16 14:34:23,erro_usuario,,879.6,,35
20334c17-e82e-49f3-b7fc-78329f901eb3,BKG0015812,2025-03-19 01:19:20,voo_cancelado,customer,849.81,pending,51
062e2694-15a9-42dc-8ae6-f74ebd6f3f46,BKG0001431,2025-03-04 15:33:24,outro,,688.42,pending,3
23bd8fa5-686f-43ce-9ba3-7b592434a7dd,BKG0008555,2024-10-13 01:19:44,fraude_detectada,admin,891.34,,70
8c948c9f-544a-445d-8883-cbc99ad89025,BKG0005951,2024-10-11 03:06:27,cliente_desistiu,partner,1386.77,,34
c10684c9-f8b4-4743-8706-befae3d1a76f,BKG0006438,2024-12-18 17:14:33,cliente_desistiu,partner,,pending,26
9e841b9e-8a72-4551-a5dc-8354500b8163,BKG0004951,2024-12-06 08:31:30,cliente_desistiu,,744.89,processed,79
b6918cc3-08eb-4241-8ec5-7a99d43e2b4e,BKG0007227,2025-01-07 07:19:17,,partner,333.4,processed,40
b395ca5a-b518-4080-87d0-f8e22c64a6c8,BKG0001668,2025-01-05 13:13:24,voo_cancelado,system,270.89,denied,
0eeba496-f5cd-43f2-817d-d9a5c065f164,BKG0014385,2024-12-28 16:31:00,fraude_detectada,customer,795.67,processed,-2
34a27702-402b-40af-8718-247af211a606,BKG0006612,2025-01-05 14:23:07,fraude_detectada,partner,,processed,7
5d4c4211-9a8f-4596-8b6e-97ea92acfd35,BKG0015257,2025-03-31 21:16:34,parceiro_sem_veiculo,customer,868.78,denied,77
989401ee-22fc-49af-92c9-a685c363372b,BKG0005962,2024-10-27 22:29:46,voo_cancelado,partner,1493.53,processed,73
c3cce3db-50bb-463e-9952-2b39d11020f6,BKG0014523,2024-10-03 06:33:30,cliente_desistiu,system,1125.98,pending,15
b437da66-ea0e-4af6-98f3-62766ffa8d00,BKG0003837,2025-01-24 23:55:03,duplicidade,,707.5,processed,41
f3d66fa3-b657-4ff8-aac0-25329a7681d3,BKG0015045,2025-02-09 07:02:08,,system,254.39,,69
e70725dc-8d55-4d03-9db4-6e3129beb89b,BKG0014791,2024-12-22 18:59:15,erro_usuario,partner,723.1,pending,5
d2873353-8e01-4dab-b952-218f1b6d1a47,BKG0010513,2024-11-02 03:41:53,fraude_detectada,customer,1202.82,pending,85
4514ae56-6956-42bc-a91e-a3dac15b9345,BKG0015955,2025-01-17 07:57:29,preco_alto,system,189.68,pending,25
1474803d-b417-4540-8e4f-49d838e27451,BKG0011249,2024-12-03 19:31:08,duplicidade,system,446.91,denied,9
cfd567d2-5e6f-490c-b023-13314f9142aa,BKG0016963,2024-12-25 20:51:10,erro_usuario,partner,789.42,,41
12036b3a-479a-4a53-b9ec-313c8420fa1f,BKG0015712,2024-11-16 23:31:10,duplicidade,,1119.38,,25
2a1bc3d7-a41d-41c9-844b-8d5d04f71f0f,BKG0008013,2024-10-11 05:25:13,fraude_detectada,admin,639.44,denied,80
258f3ee9-4d3f-43bb-b95b-042e1cb6a8ca,BKG0004881,2024-12-04 05:29:03,,partner,15.14,processed,7
58cb563f-f985-4d49-876c-c2e40ffdfa5b,BKG0011085,2024-12-06 11:15:53,outro,customer,,pending,66
61211a24-21e9-415a-bf4d-0c07bfea5fda,BKG0016271,2024-10-16 06:14:32,fraude_detectada,partner,1056.54,,7
1b6f345f-7a84-45c9-9cdd-2f3f71eadbb9,BKG0003640,2024-10-30 04:15:46,preco_alto,system,826.56,pending,0
ffda7438-bcec-4501-9125-fae90145e66a,BKG0006460,2024-10-07 09:21:22,,partner,1309.22,,22
8c6e8aa6-0635-4119-a7c6-5f86b5220323,BKG0004604,2024-10-13 18:35:16,outro,,177.79,,80
efe44a66-fc29-4cc3-a412-3b4d8c186d64,BKG0009950,2025-02-23 16:20:43,cliente_desistiu,partner,436.26,,1
42c4641e-4452-48a0-aab4-609d414cac34,BKG0000921,2024-12-18 22:19:28,erro_usuario,customer,348.31,processed,
ad032405-46bf-473d-90bf-c13db88d6308,BKG0001931,2025-02-10 05:38:54,outro,partner,1490.68,denied,52
296af1a5-b898-46d9-afb5-5c1723cecfa6,BKG0015457,2025-03-27 19:46:14,voo_cancelado,,1347.18,pending,15
09d4eca2-9916-4159-9771-ff66d4f76d51,BKG0016102,2025-01-31 00:31:38,fraude_detectada,customer,1296.13,,12
8a874e6b-e4f1-43be-8b4c-e9eb4d823bae,BKG0006654,2024-12-23 13:08:49,outro,customer,,pending,84
b0d3a99a-7472-4823-bf0d-f105a2393874,BKG0012888,2025-01-14 14:17:00,voo_cancelado,,819.79,denied,89
b5d619d2-962b-4b47-92f1-aa2e8a717834,BKG0001603,2024-12-31 16:44:26,preco_alto,,131.74,pending,53
f8bbe56f-d3d5-4c4b-a458-fecfd46ba75b,BKG0001034,2025-01-31 05:14:36,erro_usuario,admin,748.98,,48
f3018853-3bad-4969-84f3-1656382d1a5f,BKG0007428,2024-12-22 12:00:27,preco_alto,customer,1074.78,denied,13
a29005fb-fd92-4bda-8d48-9b93ec4153ff,BKG0006618,2024-12-24 08:01:33,,system,1354.8,denied,34
9a357dd3-c0ae-4e49-bcb4-be7a72a64bdf,BKG0002985,2025-03-10 09:09:35,parceiro_sem_veiculo,system,684.26,,
596c8c98-c9eb-43a3-88c7-baeb8ca6e342,BKG0002142,2025-02-05 12:48:55,duplicidade,admin,1446.27,denied,3
d94e0be0-aba8-49b2-94f7-14181852e122,BKG0006055,2025-03-06 22:21:05,erro_usuario,system,798.52,,71
9085021d-d199-4dd6-ba7b-06825ace5955,BKG0001871,2024-12-31 15:21:24,outro,,1156.11,processed,61
111b3922-aa58-44a8-ba63-b4aa22e27460,BKG0006907,2025-01-25 02:09:28,duplicidade,admin,589.83,,3
d4f76fcc-66fc-4a4e-a410-9d27d251dd92,BKG0006091,2024-12-28 18:43:34,cliente_desistiu,partner,,,21
78a966bb-0280-48a0-a054-c078350f4274,BKG0016436,2025-01-25 07:12:55,outro,system,45.19,,71
e51f9676-38f6-43c3-b21a-54915fa309da,BKG0017335,2025-01-22 15:18:29,erro_usuario,customer,1237.68,,60
e5e87d96-7931-4de5-b095-91fb6be75a61,BKG0003465,2024-10-01 18:18:15,fraude_detectada,partner,822.42,,80
1ea22752-5ba8-4b4f-a741-685b080fafcc,BKG0000765,2025-01-31 16:59:08,parceiro_sem_veiculo,partner,,processed,42
c05299e7-430f-4df0-b2a6-58d1c081d4da,BKG0004238,2024-12-21 11:25:06,duplicidade,system,,denied,49
689e9533-0ced-4555-83a2-3bbc8a6d9f37,BKG0014561,2025-03-14 03:38:34,fraude_detectada,customer,641.72,processed,29
e03dbe7d-432c-40bb-9b57-9bca43418561,BKG0006468,2024-11-17 21:39:41,erro_usuario,customer,882.19,denied,89
4e98c88f-4882-463d-b5b0-93270dc31d27,BKG0001882,2025-01-29 21:36:58,erro_usuario,system,1428.77,pending,14
2fd201bd-fa4e-4267-b1f9-e37a78027cec,BKG0013519,2024-11-26 05:08:00,parceiro_sem_veiculo,system,1236.36,,70
e7b7bab5-0a37-4131-8d82-6dbca9d7da84,BKG0011168,2024-12-23 06:14:13,voo_cancelado,,1087.44,processed,35
4a07c4df-745d-4605-85ad-1e7d6b915126,BKG0003885,2024-12-17 22:02:00,duplicidade,system,211.31,,28
ebee53c1-e6b3-41df-b84c-819cbda63ecb,BKG0001474,2025-03-04 07:30:29,cliente_desistiu,partner,582.45,,27
2cd49537-a793-48aa-9441-1b27e74522d8,BKG0005524,2025-01-29 14:53:07,outro,,1407.71,denied,34
ce054e11-495d-4282-a24b-493243068908,BKG0011235,2024-11-30 02:58:01,erro_usuario,system,1291.74,denied,53
bd801840-18a3-49f2-8eae-a132aca62b0c,BKG0001228,2024-12-08 11:23:17,parceiro_sem_veiculo,customer,220.01,denied,9
37a8c937-e511-4ab9-86db-8f2eeaeb81eb,BKG0014660,2024-12-09 22:56:06,voo_cancelado,customer,250.11,processed,82
da0e3919-5341-43aa-9026-05141e10a2ad,BKG0017960,2025-02-11 07:36:28,outro,system,112.51,,41
8462a5fa-3c17-46ca-a9cd-5b6cc2b538de,BKG0004670,2024-10-15 01:21:52,voo_cancelado,system,1024.44,,45
f507a4af-a62e-4581-90d7-5ee30515cf1a,BKG0009716,2024-10-05 07:18:45,preco_alto,partner,1361.42,pending,
b6a73c0e-ee6a-4b65-92dc-b1bab1a69efa,BKG0012487,2024-11-29 01:20:50,preco_alto,partner,854.34,,
910a8b8b-7d11-43ca-aecf-ad3b57915d94,BKG0015556,2024-11-25 09:51:43,voo_cancelado,partner,381.45,pending,13
5ea8f940-9b65-44a0-8130-227d842d362b,BKG0001300,2025-02-13 09:36:37,fraude_detectada,admin,84.49,processed,75
3ef6fc3f-6ce4-417f-916b-8775772f9e61,BKG0016969,2024-10-05 21:54:29,fraude_detectada,system,381.02,denied,81
26ae41c1-baba-4393-8a9c-af4ce905ee6d,BKG0008335,2024-11-03 19:42:40,parceiro_sem_veiculo,system,398.36,pending,52
c4e88aeb-4180-42f9-9448-87f8a9db4e1a,BKG0001851,2025-03-31 14:08:36,parceiro_sem_veiculo,,564.33,,0
9d1f7c02-5f28-4f2e-831d-d39e2e792aed,BKG0015958,2025-02-07 11:07:53,outro,system,,pending,6
42c21f0c-b7b6-4fee-92c7-4c2eda70f78e,BKG0002138,2025-01-24 02:54:38,cliente_desistiu,system,52.0,denied,84
80653d23-021e-4365-a01a-544031426611,BKG0002682,2024-11-28 06:04:24,preco_alto,customer,927.03,processed,87
f3eb2922-18fc-4eb6-81ff-d1642a842650,BKG0011603,2024-10-27 09:51:52,outro,,528.03,pending,20
a86e5cdd-85cf-42b6-8bc9-a7c8cd8c6507,BKG0009539,2024-10-22 21:15:42,,customer,1284.69,processed,62
cb4f8f1f-f4f1-4042-bb1d-cc330e4f5a24,BKG0016583,2024-10-18 20:17:37,preco_alto,,1477.27,,34
43d2ef89-3146-41c4-8976-9fc7c62f2282,BKG0010317,2024-10-04 02:33:17,,admin,1406.97,pending,38
5080435e-14bf-4b40-b2e9-fb718250ddf9,BKG0017128,2024-11-04 07:11:05,voo_cancelado,,278.85,,60
7ca8c898-1bc4-4fad-acc8-ed6743b8f7ff,BKG0015690,2024-12-10 03:21:16,voo_cancelado,admin,115.82,pending,23
7c12d79c-b945-4331-911a-e5e6b23560e6,BKG0005832,2025-01-17 13:12:46,erro_usuario,admin,410.0,denied,27
050e37e3-e677-47a4-8ada-0cb7ceac2303,BKG0011687,2024-12-09 15:44:36,,customer,776.37,processed,87
5c871ad0-b214-453d-9f6e-8ffcb31ba00a,BKG0016810,2024-12-27 12:53:03,duplicidade,,919.67,pending,39
5dccbd97-1ba1-49a3-a4c5-24ac54875e1d,BKG0008542,2025-01-08 11:17:01,outro,admin,59.3,pending,21
ae77bd6f-1fb1-4588-9583-442747e9a750,BKG0001181,2025-02-10 13:49:42,duplicidade,admin,,pending,27
89c89dc3-6455-4365-b27d-db55c82865e7,BKG0004502,2024-10-07 08:51:37,,admin,1145.38,processed,82
945bba0f-8c0f-4895-91b0-a39d878ac183,BKG0016928,2025-01-03 08:25:32,preco_alto,admin,1103.28,denied,73
fa24d38a-646f-45ef-bff8-f2ab295cde2e,BKG0005977,2024-11-05 18:57:06,outro,system,,processed,81
b91df130-cd18-4ffb-9155-724e97694be6,BKG0004158,2025-02-17 17:52:08,preco_alto,system,1263.41,processed,22
485211ca-520b-4208-b3b7-b6be05709211,BKG0008925,2025-03-20 15:45:09,fraude_detectada,partner,105.85,denied,26
d3fed4a6-761b-4fef-a1fc-ab67e5259209,BKG0005919,2024-12-03 05:55:48,duplicidade,system,,processed,1
fa352f6e-eeaf-4ab6-a117-05f78c466fcd,BKG0016402,2024-12-19 09:57:40,cliente_desistiu,customer,294.39,processed,3
d2561e85-b86b-402d-8dc0-4dacd449357c,BKG0005114,2025-02-21 13:38:26,parceiro_sem_veiculo,admin,304.19,,62
d02213b0-fb6f-4ee8-bebf-84aaea9958dd,BKG0002387,2024-12-28 21:24:32,outro,partner,772.68,pending,46
f861cab4-1acc-44d6-87c6-cad45966934d,BKG0017501,2024-11-05 17:47:45,parceiro_sem_veiculo,system,474.25,denied,19
022db641-2e20-47d0-8c6b-324418853be3,BKG0004829,2024-11-21 13:16:27,preco_alto,customer,1494.16,denied,24
7512aa71-ce38-424b-9406-a55c55c8b314,BKG0015551,2024-12-19 23:54:10,preco_alto,admin,,,64
375ce8ff-f20e-4690-b37a-47cce1219c5e,BKG0013515,2025-01-14 14:44:03,duplicidade,admin,93.22,pending,-2
30d607fd-b8a8-4ddc-bdab-46271f5334cd,BKG0011019,2025-02-13 11:00:53,voo_cancelado,customer,547.75,,65
bae15916-224e-43e8-8583-4524d3c58d8d,BKG0013613,2025-01-07 02:26:10,,system,349.92,processed,60
b5c7605c-a4bd-4266-b04d-b77bc8529eb6,BKG0014110,2025-03-10 03:16:19,outro,customer,459.42,denied,52
1b820173-64c1-4507-ad68-fdbb5db21190,BKG0005412,2025-01-15 16:59:48,,customer,1483.77,pending,9
8d583f8b-ad16-4fc3-ad38-0869085e4899,BKG0004222,2025-02-25 09:19:55,,admin,1477.91,denied,3
33eb9bb2-0100-409a-80bc-11cb9665309f,BKG0007076,2024-12-14 16:35:46,,,36.42,pending,-1
c7da5d78-b316-4729-86bc-860bc5274e52,BKG0010367,2025-03-22 17:58:14,erro_usuario,customer,378.77,processed,34
75b5e893-18f4-4f15-87b3-5c9473649721,BKG0007733,2025-02-12 03:55:48,duplicidade,admin,1439.51,processed,62
8fed2ba6-5390-424c-8060-269c7a9c1341,BKG0003658,2024-10-23 18:31:14,fraude_detectada,system,1269.34,processed,69
d5d82395-70b9-4705-922e-da0bb010e99a,BKG0004176,2024-11-12 09:56:26,cliente_desistiu,admin,1444.93,processed,9
27ae45bf-6f65-499d-a622-8f2eeb2e6275,BKG0002610,2024-12-03 02:35:06,voo_cancelado,admin,38.8,processed,33
9371610a-a25b-4ece-ba73-14f0d084ddca,BKG0005404,2025-02-01 00:13:19,voo_cancelado,customer,,pending,38
c9880fce-e38d-42d3-b72e-cea7298bdcaa,BKG0007872,2025-02-28 21:26:46,duplicidade,customer,952.83,processed,15
bf2231e5-c7ec-4f36-bb28-f4d5fcc74b18,BKG0005451,2025-02-13 22:19:36,,customer,166.39,denied,70
60aed8bb-4181-4e7d-86fa-f8a583bc4a71,BKG0006548,2025-02-14 06:05:29,fraude_detectada,customer,972.38,denied,30
551c94d3-650b-4c84-985c-3b6784ec98ef,BKG0000866,2024-12-18 20:32:10,parceiro_sem_veiculo,customer,798.74,denied,12
4d4c7bce-64da-488e-a4e6-b8e74a0499da,BKG0013359,2024-10-21 22:35:57,outro,admin,1136.13,processed,41
824c3af9-2100-44db-b75d-aa464d8727b7,BKG0014621,2025-02-14 20:54:10,voo_cancelado,customer,32.87,denied,
5a5a32c7-d513-4ea5-a526-d8abe60b3fb3,BKG0017528,2025-01-04 20:40:37,parceiro_sem_veiculo,system,748.86,processed,87
764e1fbd-0266-441e-aa82-84e7558556be,BKG0013891,2025-03-28 10:54:25,outro,system,425.31,denied,31
139ff488-e765-4746-bf6e-d2bcd2b4f2f0,BKG0005427,2024-10-18 21:51:15,fraude_detectada,admin,178.45,pending,82
0cef26bf-3ebf-4c27-8e3c-fa2cccf3e313,BKG0002040,2024-11-15 13:13:43,,,409.46,,39
f8957971-f34a-478d-aece-5ac229b2108e,BKG0000990,2024-11-22 05:05:23,cliente_desistiu,admin,1089.03,processed,
c0a9bb48-c5da-4640-bf16-f2ee5a5a7cdd,BKG0010140,2024-10-13 07:40:55,preco_alto,customer,902.89,denied,25
69b62373-5746-491d-a6c8-b7ad994e6ead,BKG0000798,2025-03-01 00:48:45,cliente_desistiu,customer,46.12,,61
4a1a23b0-95cd-45c8-aa50-215032013c71,BKG0007774,2025-03-02 21:55:56,preco_alto,system,643.53,processed,
1124685b-4799-49b0-8c9b-0a94531c76ca,BKG0012181,2025-01-16 21:36:26,outro,system,389.39,pending,1
de98ccd0-ff89-45d4-bf1c-54151983bd12,BKG0011553,2025-01-30 15:40:17,parceiro_sem_veiculo,partner,,,25
9146b735-bee9-4d37-81fa-53aed4b4cda0,BKG0013850,2024-12-28 02:21:12,outro,partner,,denied,35
55287daf-39a0-438d-9bed-a0a22de00166,BKG0017525,2024-10-01 06:05:02,erro_usuario,,295.22,processed,88
f833bb11-f44f-488f-9f46-59738c0a8f37,BKG0003254,2025-03-15 00:35:01,voo_cancelado,,751.02,pending,65
28217f6d-a319-412b-af2a-06e0652179cd,BKG0006650,2025-03-18 21:34:12,preco_alto,customer,1111.57,pending,23
88b0944f-e27e-49df-847d-302ec98793af,BKG0011939,2024-11-28 04:22:50,erro_usuario,,957.43,denied,9
2bc75bba-5cf1-401e-ae65-f416fd0fe14f,BKG0003420,2025-01-19 21:09:38,voo_cancelado,customer,1292.28,processed,59
52446838-1414-4493-89b9-23f4b8511e0f,BKG0008550,2024-10-11 09:56:19,outro,,297.12,processed,48
03664fc8-e3d0-4726-9cba-b222da5a0602,BKG0005624,2025-02-11 19:49:55,,system,171.27,processed,4
37e660c0-785a-489a-891e-595fccae6198,BKG0003165,2024-10-12 09:35:18,preco_alto,partner,1016.29,,27
21d82d2a-73bc-4eb0-9387-0da075477a96,BKG0014442,2024-10-01 05:17:23,fraude_detectada,partner,143.75,,17
13e1c601-dd17-40fc-ad87-dbe0ca6b14fd,BKG0002246,2024-12-03 16:39:30,cliente_desistiu,admin,741.52,denied,56
c743bea3-0ca1-4c44-b30a-3ee91d4ed38c,BKG0008496,2024-12-23 18:22:11,preco_alto,customer,796.65,pending,5
e12b3cda-2866-48f0-9b8c-a7612954938b,BKG0000626,2024-10-11 09:14:20,voo_cancelado,partner,494.66,,
46d5b3e4-0d62-4f1a-b38b-de296aae64fe,BKG0013929,2024-10-02 14:06:54,preco_alto,,1112.91,pending,48
1ca456dc-6291-4445-87f2-219768a23d76,BKG0016961,2025-01-19 05:44:12,cliente_desistiu,customer,840.5,pending,14
